payment_id,strategy,action,amount,true_recovery_probability,expected_gross_revenue,expected_net_revenue,intervention_cost,incentive_cost
23123,BASELINE,RETRY_LATER,1600.96,0.13457999999999998,215.45719679999996,215.15719679999995,0.3,0.0
20838,BASELINE,RETRY_LATER,845.27,0.6240800000000002,527.5161016000002,527.2161016000002,0.3,0.0
19320,BASELINE,RETRY_LATER,100.0,0.25529999999999997,25.529999999999998,25.229999999999997,0.3,0.0
34070,BASELINE,RETRY_LATER,2076.13,0.8532000000000001,1771.3541160000002,1771.0541160000002,0.3,0.0
8086,BASELINE,DO_NOTHING,701.3,0.07,49.091,49.091,0.0,0.0
20914,BASELINE,RETRY_LATER,316.51,0.67474,213.56195739999998,213.26195739999997,0.3,0.0
12094,BASELINE,RETRY_LATER,602.72,0.58686,353.71225920000006,353.41225920000005,0.3,0.0
23720,BASELINE,RETRY_LATER,598.69,0.32470000000000004,194.39464300000003,194.09464300000002,0.3,0.0
45140,BASELINE,RETRY_LATER,1443.16,0.7486000000000002,1080.3495760000003,1080.0495760000003,0.3,0.0
44864,BASELINE,RETRY_LATER,1195.88,0.37651999999999997,450.2727376,449.9727376,0.3,0.0
28788,BASELINE,RETRY_LATER,329.3,0.6305400000000001,207.63682200000005,207.33682200000004,0.3,0.0
5750,BASELINE,WHATSAPP,5448.49,0.5988500000000001,3262.8282365000005,3262.0282365000003,0.8,0.0
2338,BASELINE,WHATSAPP,982.79,0.502425,493.77826575,492.97826575,0.8,0.0
49688,BASELINE,WHATSAPP,1910.19,0.57165,1091.9601135,1091.1601135,0.8,0.0
24775,BASELINE,WHATSAPP,2027.93,0.49515000000000003,1004.1295395000001,1003.3295395000001,0.8,0.0
48473,BASELINE,RETRY_LATER,1362.96,0.80322,1094.7567312,1094.4567312000001,0.3,0.0
38751,BASELINE,RETRY_LATER,222.96,0.7505400000000001,167.34039840000003,167.04039840000002,0.3,0.0
17935,BASELINE,RETRY_LATER,804.24,0.88048,708.1172352000001,707.8172352000001,0.3,0.0
27146,BASELINE,RETRY_LATER,1505.43,0.6948600000000001,1046.0630898000002,1045.7630898000002,0.3,0.0
10810,BASELINE,RETRY_LATER,6015.27,0.7139800000000001,4294.782474600001,4294.4824746,0.3,0.0
17867,BASELINE,WHATSAPP,6219.31,0.6932250000000001,4311.381174750001,4310.581174750001,0.8,0.0
42791,BASELINE,RETRY_LATER,1062.58,0.22054,234.3413932,234.0413932,0.3,0.0
37240,BASELINE,RETRY_LATER,10694.48,0.6061400000000001,6482.352107200001,6482.052107200001,0.3,0.0
38853,BASELINE,RETRY_LATER,1536.71,0.8115400000000002,1247.1016334000003,1246.8016334000004,0.3,0.0
11427,BASELINE,RETRY_LATER,1023.33,0.4252,435.11991600000005,434.81991600000003,0.3,0.0
45850,BASELINE,RETRY_LATER,1051.45,0.7104400000000002,746.9921380000002,746.6921380000002,0.3,0.0
47488,BASELINE,RETRY_LATER,2524.79,0.28246,713.1521834,712.8521834000001,0.3,0.0
11786,BASELINE,DO_NOTHING,903.11,0.19333999999999998,174.6072874,174.6072874,0.0,0.0
18182,BASELINE,RETRY_LATER,405.94,0.7336600000000001,297.8219404,297.5219404,0.3,0.0
42767,BASELINE,RETRY_LATER,1997.05,0.6829600000000001,1363.9052680000002,1363.6052680000003,0.3,0.0
42861,BASELINE,RETRY_LATER,4356.41,0.8216000000000001,3579.2264560000003,3578.926456,0.3,0.0
25,BASELINE,PAYMENT_LINK,1718.33,0.64482,1108.0135506,1107.5135506,0.5,0.0
16790,BASELINE,RETRY_LATER,2698.58,0.7941200000000002,2142.9963496000005,2142.6963496000003,0.3,0.0
44984,BASELINE,RETRY_LATER,1555.19,0.44398000000000004,690.4732562,690.1732562000001,0.3,0.0
18414,BASELINE,RETRY_LATER,5647.92,0.7007800000000001,3957.9493776000004,3957.6493776,0.3,0.0
11312,BASELINE,RETRY_LATER,164.3,0.42278000000000004,69.46275400000002,69.16275400000002,0.3,0.0
6546,BASELINE,DO_NOTHING,1368.69,0.12,164.2428,164.2428,0.0,0.0
33333,BASELINE,RETRY_LATER,1809.09,0.37283999999999995,674.5011155999998,674.2011155999999,0.3,0.0
25745,BASELINE,WHATSAPP,819.68,0.673915,552.3946472,551.5946472,0.8,0.0
45230,BASELINE,DO_NOTHING,1262.78,0.01999999999999999,25.255599999999987,25.255599999999987,0.0,0.0
27027,BASELINE,PAYMENT_LINK,1282.8,0.50668,649.969104,649.469104,0.5,0.0
28111,BASELINE,WHATSAPP,1216.56,0.7301,888.2104559999999,887.410456,0.8,0.0
12301,BASELINE,DO_NOTHING,3959.06,0.35,1385.6709999999998,1385.6709999999998,0.0,0.0
41608,BASELINE,RETRY_LATER,2734.27,0.6535200000000001,1786.9001304000003,1786.6001304000004,0.3,0.0
7596,BASELINE,DO_NOTHING,2148.85,0.027139999999999997,58.31978899999999,58.31978899999999,0.0,0.0
31692,BASELINE,DO_NOTHING,397.01,0.32000000000000006,127.04320000000003,127.04320000000003,0.0,0.0
45084,BASELINE,RETRY_LATER,501.59,0.7065400000000001,354.3933986,354.0933986,0.3,0.0
47853,BASELINE,RETRY_LATER,267.66,0.37008,99.05561280000002,98.75561280000002,0.3,0.0
24355,BASELINE,WHATSAPP,806.13,0.524375,422.71441875000005,421.91441875000004,0.8,0.0
43491,BASELINE,DO_NOTHING,816.85,0.22000000000000003,179.70700000000002,179.70700000000002,0.0,0.0
48532,BASELINE,RETRY_LATER,381.62,0.6297600000000001,240.32901120000005,240.02901120000004,0.3,0.0
8687,BASELINE,RETRY_LATER,1272.86,0.6788600000000001,864.0937396,863.7937396000001,0.3,0.0
2188,BASELINE,DO_NOTHING,345.23,0.27,93.2121,93.2121,0.0,0.0
3948,BASELINE,RETRY_LATER,1520.65,0.5990400000000002,910.9301760000004,910.6301760000005,0.3,0.0
